"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1997/05/01","00:00","NaN","0.259","0.175","-0.106","-0.113","-0.401","-0.534","NaN","11"
"1997/06/01","00:00","0.495","0.32","0.204","-0.069","-0.075","-0.355","-0.519","-0.784","0"
"1997/07/01","00:00","0.566","0.322","0.207","-0.065","-0.075","-0.357","-0.526","-0.84","0"
"1997/08/01","00:00","0.529","0.328","0.222","-0.051","-0.06","-0.342","-0.469","-0.663","0"
"1997/09/01","00:00","0.555","0.353","0.275","0.003","-0.006","-0.286","-0.392","-0.565","0"
"1997/10/01","00:00","0.62","0.303","0.239","-0.029","-0.035","-0.309","-0.422","-0.673","0"
"1997/11/01","00:00","0.676","0.246","0.146","-0.119","-0.125","-0.397","-0.565","-1.03","0"
"1997/12/01","00:00","0.532","0.185","0.067","-0.196","-0.199","-0.465","-0.639","-1.046","0"
"1998/01/01","00:00","0.427","0.181","0.088","-0.19","-0.196","-0.479","-0.645","-1.285","0"
"1998/02/01","00:00","0.681","0.296","0.19","-0.098","-0.103","-0.397","-0.53","-0.917","0"
"1998/03/01","00:00","0.552","0.213","0.146","-0.141","-0.157","-0.461","-0.57","-0.859","0"
"1998/04/01","00:00","0.438","0.229","0.15","-0.119","-0.121","-0.392","-0.542","-0.764","0"
"1998/05/01","00:00","0.506","0.292","0.214","-0.058","-0.065","-0.344","-0.52","-0.743","0"
"1998/06/01","00:00","0.449","0.286","0.183","-0.098","-0.101","-0.386","-0.553","-0.817","0"
"1998/07/01","00:00","0.462","0.273","0.165","-0.102","-0.106","-0.377","-0.52","-0.733","0"
"1998/08/01","00:00","0.454","0.308","0.202","-0.057","-0.065","-0.331","-0.455","-0.657","0"
